Country,Year,Value
Canada,2015,722241.68342
Canada,2014,727588.05317
Canada,2013,729695.86825
Canada,2012,716786.77502
Canada,2011,707903.63435
Canada,2010,701301.10511
Canada,2009,689233.1397
Canada,2008,729677.90757
Canada,2007,750103.7851
Canada,2006,729570.43978
Canada,2005,738857.34422
Canada,2004,751237.45381
Canada,2003,749372.52353
Canada,2002,730686.93485
Canada,2001,728248.15979
Canada,2000,738817.45686
Canada,1999,717137.79546
Canada,1998,704439.5247
Canada,1997,697653.30328
Canada,1996,682494.24888
Canada,1995,662012.75279
Canada,1994,645083.21609
Canada,1993,623818.1096
Canada,1992,622240.86667
Canada,1991,604922.057
Canada,1990,611710.05182
Czech Republic,2015,127925.53023
Czech Republic,2014,126616.31486
Czech Republic,2013,130561.17962
Czech Republic,2012,134465.77264
Czech Republic,2011,137863.56563
Czech Republic,2010,139593.27857
Czech Republic,2009,137795.64469
Czech Republic,2008,146162.00108
Czech Republic,2007,150731.48686
Czech Republic,2006,149308.88165
Czech Republic,2005,147612.8756
Czech Republic,2004,149560.40514
Czech Republic,2003,148737.65251
Czech Republic,2002,145430.09892
Czech Republic,2001,148992.74097
Czech Republic,2000,149380.14618
Czech Republic,1999,140163.0956
Czech Republic,1998,149360.64751
Czech Republic,1997,155435.54514
Czech Republic,1996,159170.90931
Czech Republic,1995,157052.78128
Czech Republic,1994,156649.89262
Czech Republic,1993,164528.85868
Czech Republic,1992,172382.79731
Czech Republic,1991,179160.21594
Czech Republic,1990,197948.82139
Denmark,2015,49733.514548
Denmark,2014,52222.088821
Denmark,2013,56419.631428
Denmark,2012,54608.848005
Denmark,2011,59511.268605
Denmark,2010,64817.086537
Denmark,2009,64348.995688
Denmark,2008,67287.980109
Denmark,2007,70976.382027
Denmark,2006,75592.651349
Denmark,2005,67870.851362
Denmark,2004,72315.225152
Denmark,2003,78448.824822
Denmark,2002,73389.508199
Denmark,2001,73877.889397
Denmark,2000,72187.252727
Denmark,1999,76510.040439
Denmark,1998,79026.137155
Denmark,1997,83060.42508
Denmark,1996,92589.943256
Denmark,1995,79416.384905
Denmark,1994,82369.06368
Denmark,1993,78516.710304
Denmark,1992,76351.948837
Denmark,1991,82370.433918
Denmark,1990,71709.733995
Finland,2015,55559.212844
Finland,2014,59125.789782
Finland,2013,63195.336628
Finland,2012,62389.340664
Finland,2011,67706.403333
Finland,2010,75653.911299
Finland,2009,67438.003779
Finland,2008,71167.868619
Finland,2007,79197.445201
Finland,2006,80751.269844
Finland,2005,69577.928208
Finland,2004,81489.733953
Finland,2003,85264.717249
Finland,2002,77767.720559
Finland,2001,75360.329883
Finland,2000,70002.546376
Finland,1999,71879.151425
Finland,1998,72508.812372
Finland,1997,76179.851576
Finland,1996,77595.740156
Finland,1995,71805.383925
Finland,1994,75358.376384
Finland,1993,69856.839527
Finland,1992,67622.840519
Finland,1991,69058.680608
Finland,1990,71290.641285
Japan,2015,1324717.7439
Japan,2014,1364040.6378
Japan,2013,1409037.6453
Japan,2012,1391203.024
Japan,2011,1355578.6301
Japan,2010,1306045.2811
Japan,2009,1252372.7777
Japan,2008,1328576.0327
Japan,2007,1414752.3755
Japan,2006,1379939.0611
Japan,2005,1398823.623
Japan,2004,1391488.489
Japan,2003,1394989.9533
Japan,2002,1392383.1758
Japan,2001,1360938.9489
Japan,2000,1389104.9661
Japan,1999,1370262.1028
Japan,1998,1348350.6583
Japan,1997,1392501.6508
Japan,1996,1395687.3093
Japan,1995,1382327.1723
Japan,1994,1360095.9911
Japan,1993,1289308.1862
Japan,1992,1296863.3866
Japan,1991,1284040.2588
Japan,1990,1273560.5151
Latvia,2015,11319.389959
Latvia,2014,11210.218535
Latvia,2013,11265.267136
Latvia,2012,11343.79742
Latvia,2011,11443.233566
Latvia,2010,12218.079993
Latvia,2009,11099.682674
Latvia,2008,11818.949183
Latvia,2007,12288.333285
Latvia,2006,11831.540406
Latvia,2005,11312.300966
Latvia,2004,11102.237366
Latvia,2003,11113.039907
Latvia,2002,10943.436911
Latvia,2001,10961.143652
Latvia,2000,10362.807793
Latvia,1999,10934.185121
Latvia,1998,11722.707577
Latvia,1997,12226.401846
Latvia,1996,12788.09125
Latvia,1995,12731.786948
Latvia,1994,14144.942336
Latvia,1993,16039.456009
Latvia,1992,19454.797094
Latvia,1991,24217.002641
Latvia,1990,26184.860751
Netherlands,2015,195245.67302
Netherlands,2014,187582.40591
Netherlands,2013,195620.62423
Netherlands,2012,195443.12097
Netherlands,2011,200261.3848
Netherlands,2010,214158.17037
Netherlands,2009,202300.00318
Netherlands,2008,207888.42091
Netherlands,2007,208483.53707
Netherlands,2006,209372.92428
Netherlands,2005,214353.45952
Netherlands,2004,219152.24048
Netherlands,2003,218015.27552
Netherlands,2002,217834.16377
Netherlands,2001,219937.03117
Netherlands,2000,219714.18128
Netherlands,1999,221559.89727
Netherlands,1998,234886.64474
Netherlands,1997,234896.08253
Netherlands,1996,242587.31067
Netherlands,1995,231514.36877
Netherlands,1994,234808.4946
Netherlands,1993,231167.78009
Netherlands,1992,229870.05318
Netherlands,1991,229236.30487
Netherlands,1990,221416.69894
Portugal,2015,68915.74395
Portugal,2014,64360.381834
Portugal,2013,64494.479914
Portugal,2012,66398.854321
Portugal,2011,68304.28522
Portugal,2010,69459.497907
Portugal,2009,73507.014793
Portugal,2008,76675.456754
Portugal,2007,79308.615088
Portugal,2006,81575.237108
Portugal,2005,86308.17271
Portugal,2004,84377.311993
Portugal,2003,81157.170735
Portugal,2002,86277.848053
Portugal,2001,82101.265247
Portugal,2000,82502.369988
Portugal,1999,83627.000858
Portugal,1998,75714.322314
Portugal,1997,70919.862438
