Country,Year,Value
Portugal,1996,67655.790984
Portugal,1995,70034.662605
Portugal,1994,65508.609325
Portugal,1993,64453.960641
Portugal,1992,65746.520459
Portugal,1991,61365.252084
Portugal,1990,59584.255089
Switzerland,2015,48151.324321
Switzerland,2014,48739.781477
Switzerland,2013,52643.33544
Switzerland,2012,51748.329536
Switzerland,2011,50411.866504
Switzerland,2010,54493.471209
Switzerland,2009,52899.376487
Switzerland,2008,54210.825527
Switzerland,2007,52679.556109
Switzerland,2006,54613.742746
Switzerland,2005,54985.99728
Switzerland,2004,54376.610552
Switzerland,2003,53739.538881
Switzerland,2002,52536.156887
Switzerland,2001,54136.146752
Switzerland,2000,52552.980753
Switzerland,1999,53302.662844
Switzerland,1998,53570.433278
Switzerland,1997,51975.243764
Switzerland,1996,53241.725307
Switzerland,1995,52524.773126
Switzerland,1994,51667.044656
Switzerland,1993,52690.790268
Switzerland,1992,55367.947796
Switzerland,1991,55681.344501
Switzerland,1990,53768.558246
